Header,seconds,nanoseconds,Orientation.x,Orientation.y,Orientation.z,Orientation.w,Linear.x,Linear.y,Linear.z,Angular.x,Angular.y,Angular.z,Magnetic.x,Magnetic.y,Magnetic.z,Roll,Pitch,Yaw
34,58208,763333208,0.00648452465061898,-0.00802266159400774,0.997122851934119,0.0750973101500479,-0.143,0.128,-9.536,0.001044,-0.000694,-0.000046,-0.00001595,-0.00000641,0.00002101,-0.861,-0.81,171.392
35,58208,788323208,0.00647769254667689,-0.00800415188243118,0.997128298523428,0.0750275238541644,-0.113,0.122,-9.563,-0.0004,0.000316,0.001056,-0.0000159,-0.00000616,0.00002051,-0.859,-0.809,171.4
36,58208,813631208,0.00644409864772044,-0.00799238515507312,0.997133868514639,0.0749576122430662,-0.085,0.15,-9.529,0.000604,0.001003,-0.001681,-0.00001595,-0.00000601,0.00002118,-0.858,-0.805,171.408
37,58208,838286208,0.00642774121481295,-0.00799023740668545,0.997143803781018,0.0748269659292901,-0.101,0.132,-9.527,-0.001113,-0.001492,-0.000293,-0.00001595,-0.00000611,0.00002118,-0.858,-0.803,171.423
38,58208,863196208,0.0064192239801346,-0.00799761487689055,0.997151630240821,0.0747225402930498,-0.112,0.135,-9.534,-0.001705,0.000122,0.000002,-0.00001605,-0.00000641,0.00002067,-0.859,-0.802,171.435
39,58208,888139208,0.00642788070056785,-0.00801466002712705,0.9971631497815,0.0745660800376915,-0.134,0.173,-9.515,-0.000757,-0.000964,0.000234,-0.00001595,-0.00000596,0.00002044,-0.861,-0.803,171.453
40,58208,913170208,0.00645305572022208,-0.00802553655772729,0.997160278383925,0.0746011263194149,-0.13,0.133,-9.509,-0.001134,-0.00342,-0.000249,-0.000016,-0.00000616,0.00002039,-0.862,-0.806,171.449
41,58208,938202208,0.00647828070073356,-0.00804455137967908,0.997163844235141,0.0745492107433591,-0.173,0.15,-9.498,-0.000325,-0.001019,0.000059,-0.00001595,-0.00000641,0.00002107,-0.864,-0.809,171.455
42,58208,963187208,0.00649573693210767,-0.00805398572010295,0.997170143022288,0.0744623702324718,-0.178,0.184,-9.541,0.000019,0.003904,-0.000387,-0.0000159,-0.00000606,0.00002062,-0.865,-0.811,171.465
43,58208,988184208,0.00651284301554369,-0.00806370125370077,0.997173187650505,0.0744190394245722,-0.157,0.165,-9.496,0.000407,-0.001319,0.00083,-0.00001595,-0.00000606,0.00002022,-0.866,-0.813,171.47
44,58209,13164209,0.00653009086122435,-0.00807330133407291,0.99717752794267,0.0743583047484204,-0.159,0.157,-9.531,-0.00138,0.000534,0.000967,-0.000016,-0.00000606,0.00002112,-0.867,-0.815,171.477
45,58209,38197209,0.00653081013625453,-0.00806454232645809,0.9971782472177,0.0743495457408057,-0.167,0.128,-9.512,-0.000273,0.000205,0.000845,-0.00001595,-0.00000636,0.00002067,-0.866,-0.815,171.478
46,58209,63129209,0.00653179535722565,-0.00806374437729547,0.997187323286204,0.0742277168807263,-0.121,0.153,-9.514,-0.00001,0.000485,-0.000617,-0.0000159,-0.00000642,0.00002045,-0.866,-0.815,171.492
47,58209,88175209,0.00652388151933882,-0.00805428158955559,0.997188755722549,0.0742101945726614,-0.126,0.156,-9.548,0.000774,-0.001178,-0.000548,-0.00001595,-0.00000601,0.00002028,-0.865,-0.814,171.494
48,58209,113165209,0.00653300544812162,-0.00805458620577172,0.997192573255833,0.0741580428832886,-0.117,0.138,-9.567,-0.000237,0.001024,-0.000394,-0.0000161,-0.00000662,0.00002112,-0.865,-0.815,171.5
49,58209,138180209,0.00652452912520732,-0.00804557947572341,0.997188825971445,0.0742101376382294,-0.106,0.121,-9.538,0.000799,0.001338,-0.000449,-0.000016,-0.00000667,0.00002101,-0.864,-0.814,171.494
50,58209,163300209,0.00652551202947606,-0.00804478229407257,0.997197885007957,0.0740883074867516,-0.134,0.144,-9.482,-0.000216,-0.003394,0.000673,-0.000016,-0.00000601,0.00002039,-0.864,-0.814,171.508
51,58209,188125209,0.00652649483634336,-0.00804398499234327,0.99720692916004,0.0739664762294134,-0.131,0.152,-9.505,0.000482,-0.003084,0.001476,-0.000016,-0.00000606,0.00002123,-0.864,-0.814,171.522
52,58209,213089209,0.00651828382242772,-0.00804294228067843,0.997211512293845,0.0739054991465589,-0.108,0.156,-9.531,-0.000805,-0.000047,0.000534,-0.00001591,-0.00000667,0.00002119,-0.864,-0.813,171.529
53,58209,238100209,0.0065359693761966,-0.00804400216814474,0.997213958124287,0.0738708119322213,-0.148,0.153,-9.553,-0.000617,-0.000223,0.001149,-0.00001595,-0.00000652,0.00002073,-0.864,-0.815,171.533
54,58209,263087209,0.00653653093755987,-0.00804354585180067,0.99721911284969,0.0738011930845946,-0.166,0.12,-9.509,-0.000641,0.00309,0.001046,-0.00001604,-0.00000576,0.00002089,-0.864,-0.815,171.541
55,58209,288119209,0.00654614592694573,-0.00804344637009858,0.997227412134263,0.0736881227335528,-0.185,0.155,-9.585,0.00056,0.003987,-0.000298,-0.000016,-0.00000606,0.00002112,-0.864,-0.816,171.554
56,58209,313118209,0.00656439337191664,-0.00804404322264067,0.997234989497392,0.0735838150032185,-0.171,0.111,-9.503,0.000035,0.00123,0.000843,-0.000016,-0.00000652,0.00002107,-0.864,-0.818,171.566
57,58209,338167209,0.00657429909929068,-0.00803552295565135,0.997240127352505,0.0735141983574689,-0.152,0.139,-9.591,-0.000533,0.000857,-0.000139,-0.000016,-0.00000581,0.00002072,-0.863,-0.819,171.574
58,58209,363519209,0.00657351716741394,-0.00804434024791615,0.997238773973669,0.0735316608374853,-0.142,0.135,-9.552,-0.000581,-0.001334,0.00028,-0.00001605,-0.00000616,0.00002123,-0.864,-0.819,171.572
59,58209,389162209,0.00656502512934708,-0.00804352763158153,0.997240765680978,0.0735054921234254,-0.143,0.142,-9.548,-0.000377,0.002796,-0.000158,-0.000016,-0.00000596,0.00002112,-0.864,-0.818,171.575
60,58209,413330209,0.00655730506779493,-0.00804208604574477,0.997249805539689,0.0733835945789883,-0.107,0.17,-9.552,-0.001223,-0.000639,-0.000802,-0.00001585,-0.00000637,0.00002074,-0.864,-0.817,171.589
61,58209,438198209,0.00654873468875125,-0.0080495206387,0.997256841886517,0.0732878612185812,-0.129,0.151,-9.507,-0.000043,0.001156,0.000455,-0.00001605,-0.00000616,0.00002072,-0.865,-0.816,171.6
62,58209,463253209,0.00653903436026005,-0.00806605918165294,0.997259325637477,0.07325310333357,-0.129,0.167,-9.529,-0.000798,-0.000651,0.000671,-0.00001595,-0.00000586,0.00002089,-0.867,-0.815,171.604
63,58209,488215209,0.00653081960493693,-0.00807321179796698,0.997269540248632,0.0731138546298474,-0.122,0.155,-9.523,-0.000272,0.001956,-0.000242,-0.0000159,-0.00000647,0.00002124,-0.868,-0.814,171.62
64,58209,513168209,0.00653067524982771,-0.00808151569499245,0.997273934172609,0.0730529917576201,-0.139,0.139,-9.539,-0.00094,-0.002775,0.00059,-0.00001585,-0.00000621,0.00002073,-0.869,-0.814,171.627
65,58209,538147209,0.00653032013988523,-0.00808999060528588,0.997276413034991,0.0730182372763037,-0.146,0.14,-9.489,0.000817,0.001631,0.000147,-0.00001595,-0.00000611,0.00002067,-0.87,-0.814,171.631
66,58209,564610209,0.00653032013988523,-0.00808999060528588,0.997276413034991,0.0730182372763037,-0.137,0.125,-9.538,0.000464,-0.000472,0.000054,-0.00001605,-0.00000601,0.00002129,-0.87,-0.814,171.631
67,58209,588227209,0.00653916429387989,-0.00809051274184282,0.997277620598457,0.0730008930588601,-0.152,0.121,-9.546,-0.001305,-0.001135,0.000941,-0.000016,-0.00000636,0.00002067,-0.87,-0.815,171.633
68,58209,613630209,0.00655826708002533,-0.008074035810819,0.997281449011649,0.0729486842640569,-0.165,0.128,-9.543,0.00067,-0.001899,0.000231,-0.00001595,-0.00000662,0.00002079,-0.868,-0.817,171.639
69,58209,638173209,0.006567817832874,-0.00806579660337317,0.99728336198209,0.0729225795468519,-0.153,0.117,-9.546,-0.000806,0.001727,-0.000136,-0.000016,-0.00000581,0.00002072,-0.867,-0.818,171.642
70,58209,663223209,0.00657722474438286,-0.0080658580920843,0.997289654910005,0.0728356111897459,-0.146,0.128,-9.519,-0.00064,-0.000705,0.000544,-0.00001615,-0.00000651,0.00002117,-0.867,-0.819,171.652
71,58209,688134209,0.00656866513414785,-0.00805692169945519,0.997285341096874,0.0728964133848604,-0.138,0.129,-9.56,-0.000376,0.001562,-0.000473,-0.0000159,-0.00000657,0.00002136,-0.866,-0.818,171.645
72,58209,713113209,0.00656066512756332,-0.00805571400160317,0.997291765598791,0.0728093223004708,-0.128,0.135,-9.527,-0.000946,0.001509,0.000542,-0.000016,-0.00000616,0.0000205,-0.866,-0.817,171.655
73,58209,738101209,0.00656957736040163,-0.00806436353585962,0.997299247487281,0.0727050043351247,-0.159,0.152,-9.553,0.000016,0.000688,0.000281,-0.000016,-0.00000616,0.00002123,-0.867,-0.818,171.667
74,58209,765415209,0.00656101461106975,-0.00807180330785264,0.997306218550375,0.0726092660710993,-0.111,0.142,-9.546,0.000502,0.001868,-0.000333,-0.0000159,-0.00000657,0.00002119,-0.868,-0.817,171.678
75,58209,788072209,0.00655167776875307,-0.00807987375109198,0.997306214888124,0.0726092618341744,-0.15,0.153,-9.529,0.000845,-0.000156,0.000183,-0.00001605,-0.00000646,0.00002078,-0.869,-0.816,171.678
76,58209,813671209,0.00653476414049294,-0.00807001927353271,0.997305151333007,0.0726264880825174,-0.143,0.163,-9.539,-0.001122,0.001148,0.000247,-0.0000159,-0.00000606,0.00002129,-0.868,-0.814,171.676
77,58209,838667209,0.00654255266615358,-0.00808777291340956,0.99730811164916,0.0725831479938597,-0.13,0.143,-9.566,-0.000467,-0.001853,0.001169,-0.000016,-0.00000662,0.00002124,-0.87,-0.815,171.681
